7f14099a86f48a15dc165de9ae9983ef,优势,you shi,2.46,3.23
2b98ac45cf418cac25b93a44370d1293,没有,mei you,2.44,2.64
0bc7dc936312395b39f4729ad20e2b71,没有,mei you,0.92,1.10
a115b0a72944c10cfd04f525725fcb6b,没有,mei you,0.50,0.90
d3ea276ea5611ec6aa17e82923b9e29a,高温,gao wen,11.42,11.68
3992c04fa055d472daae16914c1e3155,不少,bu shao,15.45,15.89
2a46bd263e1eec12a12c9f41c8e56c54,不少,bu shao,5.68,5.96
9a1a4a415cc220a21027c549e1a83ef7,报道,bao dao,2.06,2.54
57e238eb63a7c8789956c5c637cd3693,更,geng,9.36,9.50
7903789a5b74134fa024b9fc87c73459,这里,zhe li,9.50,9.68
1226b612f77dfa6869813be201caba76,太,tai,15.16,15.36
ced150b2fda715054da454c58b079f5a,期,qi,5.08,5.21
b48fb381a7546f3db4302daa7731a02a,做好,zuo hao,5.10,5.40
bfbcfad13915f02d0648a01b8c2308b0,企业,qi ye,4.45,4.81
bfbcfad13915f02d0648a01b8c2308b0,企业,qi ye,5.49,5.93
c42fd24d1b0efec672f58fdc33947a09,企业,qi ye,5.00,5.26
42709a59805e9bec4d11871de2649cbd,正在,zheng zai,3.48,3.84
b8f04f86b3b5033e99be6debf2e3b894,然后,ran hou,0.03,0.19
cd875aa9cae94967fca5e4cc91b8c764,然后,ran hou,3.88,4.19
57e238eb63a7c8789956c5c637cd3693,然后,ran hou,10.88,11.21
2b98ac45cf418cac25b93a44370d1293,然后,ran hou,0.64,0.96
2b98ac45cf418cac25b93a44370d1293,然后,ran hou,3.26,3.48
d3d7068e93080d7988d9efa491f37f3e,然后,ran hou,1.99,2.41
e72ec6f9936e0719b19d81a7ce97c43f,这种,zhe zhong,4.25,4.66
51d0f2cf3b754c4602e9beb5f74cb023,这种,zhe zhong,1.18,1.48
3368e9b217d7b61289f4d77baf32002b,讲,jiang,2.43,2.70
2608dda91ef8f1073f7f635feee45519,有的,you de,0.96,1.26
1c7c76084a27c1b19cedb8408ad1cbca,都,dou,7.38,7.54
e4579ef732dd85803549dc864a538541,都,dou,1.72,1.90
95084465d61995f6859646ed8c971e44,都,dou,1.62,1.78
0bc6a61179a1f67098a5bc6b0c406020,都,dou,1.80,1.92
92096578da8262840803ba3eb39962f2,都,dou,0.90,0.98
1226b612f77dfa6869813be201caba76,都,dou,14.80,14.92
9de97a1e5c11a2a3116e74cb208e1c73,都,dou,3.07,3.28
9ba8f87067e2d212a60a7267cafa2fdd,都,dou,2.80,3.02
a115b0a72944c10cfd04f525725fcb6b,都,dou,0.30,0.50
d44f34b4df007b4347711e83f1bc3c76,国,guo,8.49,8.69
aaaef146f51efc2110dd6b25c712274c,国,guo,1.00,1.18
a30ae8080c8a10b2e6d27106beafc243,国,guo,10.93,11.11
d77b519d558bb3552cde9fa4147bd0df,国,guo,0.18,0.34
000929523f43ef3bcf516c1639b188be,国,guo,8.24,8.34
75d883f5ac1eff2c71fc168f4b3bb9be,巨大,ju da,2.79,3.30
56b198d0ed123c5285e5f7e6cc086723,强降雨,qiang jiang yu,1.12,1.66
0bb75f27d902d5ee86c507521cc8d081,强降雨,qiang jiang yu,2.58,3.05
e914f60fc7902f295f8708a00ffab144,强降雨,qiang jiang yu,1.82,2.32
4b426c2eb118cac0aa84da247efb1945,项目,xiang mu,0.76,1.06
e0c35e49e6a2e5da5bb4a0f971e2f44d,可能,ke neng,15.00,15.26
4005187f8c7fec0747f90a6f77abc837,可能,ke neng,14.45,14.80
d44f34b4df007b4347711e83f1bc3c76,研究,yan jiu,18.00,18.32
f1e8457c13bee2f92cfa5b78463d3b73,研究,yan jiu,4.22,4.62
f63f6835dc1d953c6906f49df457ac1b,研究,yan jiu,2.14,2.56
4e1e8d32d6857c3c088a8f3be07163a8,和,he,2.48,2.64
cd875aa9cae94967fca5e4cc91b8c764,和,he,6.75,6.86
e914f60fc7902f295f8708a00ffab144,和,he,8.08,8.22
f1e8457c13bee2f92cfa5b78463d3b73,和,he,2.54,3.01
f63f6835dc1d953c6906f49df457ac1b,和,he,0.46,0.93
7f14099a86f48a15dc165de9ae9983ef,和,he,8.43,8.53
3c3cdff5e5c983f95e5c1e66eebd3dab,和,he,5.44,5.54
5487af59be91c10dff6aa6a8a5863061,会,hui,5.14,5.28
5487af59be91c10dff6aa6a8a5863061,会,hui,8.76,8.92
5487af59be91c10dff6aa6a8a5863061,会,hui,12.10,12.28
559159646380c3cd81ede7cd83e27f87,会,hui,7.76,7.88
2a46bd263e1eec12a12c9f41c8e56c54,会,hui,14.34,14.50
b116c8fb8bb38b4408909e34c2ec236f,会,hui,6.59,6.72
1e08ac46878ce85eb3614d7bba73396c,会,hui,4.26,4.42
1e08ac46878ce85eb3614d7bba73396c,会,hui,7.98,8.14
b09840f2aa2bfaad74a3e955832a7296,会,hui,10.39,10.53
0bb75f27d902d5ee86c507521cc8d081,会,hui,2.20,2.33
c51ffc0a510e90e281f8a23854317e92,会,hui,7.22,7.38
1226b612f77dfa6869813be201caba76,会,hui,4.66,4.80
1226b612f77dfa6869813be201caba76,会,hui,8.50,8.64
b2a30b80535917e5790a2ae74e75796d,会,hui,5.96,6.09
155624f5ccdc6272c150bf583fd66ea0,会,hui,14.50,14.80
e0c35e49e6a2e5da5bb4a0f971e2f44d,会,hui,15.40,15.54
4005187f8c7fec0747f90a6f77abc837,会,hui,14.80,14.94
d3ea276ea5611ec6aa17e82923b9e29a,会,hui,8.08,8.22
d3ea276ea5611ec6aa17e82923b9e29a,会,hui,11.68,11.80
9a1a4a415cc220a21027c549e1a83ef7,会,hui,5.76,5.98
e346837732e62bfdedc8c80d41186df4,会,hui,8.00,8.14
1c7c76084a27c1b19cedb8408ad1cbca,可以,ke yi,8.02,8.24
f945ce1829b08bba8d2228fc9f547ddf,可以,ke yi,4.53,4.73
edb9a8083acb14b35ad246b0eb0abf8b,可以,ke yi,10.24,10.50
5b6bd2037e77f81d01d7edc347e2d1c9,可以,ke yi,4.05,4.30
42709a59805e9bec4d11871de2649cbd,可以,ke yi,2.42,2.62
9ba8f87067e2d212a60a7267cafa2fdd,可以,ke yi,7.96,8.12
000929523f43ef3bcf516c1639b188be,办法,ban fa,6.42,7.41
afe7e416472c15a1ae85bb0e7f1a043d,南方,nan fang,2.64,3.14
56b198d0ed123c5285e5f7e6cc086723,南方,nan fang,2.42,2.99
06254121d487a2bf08d0204c0791ea6b,观众,guan zhong,3.78,4.10
bfbcfad13915f02d0648a01b8c2308b0,来说,lai shuo,4.81,5.11
5e9eed6515b2a609191708c92fcf8dd0,来说,lai shuo,2.94,3.20
b09840f2aa2bfaad74a3e955832a7296,化,hua,5.36,5.59
1226b612f77dfa6869813be201caba76,不会,bu hui,14.92,15.16
1226b612f77dfa6869813be201caba76,强,qiang,11.82,12.03
e346837732e62bfdedc8c80d41186df4,强,qiang,14.72,15.01
6a9241c2fe3b3e22f9d58d1d57c2fa83,天,tian,0.66,1.01
2b98ac45cf418cac25b93a44370d1293,天,tian,0.42,0.64
fadb85bd740895e95b84e00d4e7b701f,天,tian,14.34,14.50
92096578da8262840803ba3eb39962f2,再,zai,0.44,0.62
559159646380c3cd81ede7cd83e27f87,中部,zhong bu,5.80,6.29
559159646380c3cd81ede7cd83e27f87,中部,zhong bu,14.80,15.12
1f7760551389f7e321671a086167e282,中部,zhong bu,7.40,7.78
1226b612f77dfa6869813be201caba76,中部,zhong bu,6.58,6.94
155624f5ccdc6272c150bf583fd66ea0,中部,zhong bu,7.80,8.16
e914f60fc7902f295f8708a00ffab144,中部,zhong bu,7.72,8.08
481794a5f80a1f76a220305606c5c8f9,一,yi,16.20,16.26
5487af59be91c10dff6aa6a8a5863061,一,yi,11.44,11.50
46e1b41256aeac784dd0554a4c65b435,一,yi,0.16,0.28
56fec0edbdbd0e06ce0f0f376367fdab,一,yi,14.26,14.32
0bb75f27d902d5ee86c507521cc8d081,一,yi,5.26,5.32
2b98ac45cf418cac25b93a44370d1293,一,yi,0.34,0.42
1226b612f77dfa6869813be201caba76,一,yi,16.68,16.73
e0c35e49e6a2e5da5bb4a0f971e2f44d,一,yi,3.34,3.40
4005187f8c7fec0747f90a6f77abc837,一,yi,4.40,4.46
d3ea276ea5611ec6aa17e82923b9e29a,一,yi,17.40,17.46
77e947472d75e6c5ec8358ebba2b90ef,一,yi,3.85,3.96
5e9eed6515b2a609191708c92fcf8dd0,一,yi,6.28,6.40
2a1c309fdfbdd403362cf02163bffdfc,政策,zheng ce,12.06,12.55
7fbfc8589747318755bff010a8efceda,政策,zheng ce,7.10,7.48
db0470ba488c0bdfd8901c32b6eb196b,政策,zheng ce,1.46,1.77
bfbcfad13915f02d0648a01b8c2308b0,对于,dui yu,4.21,4.45
1a82dbd4101077682cb723ca4621b44d,往,wang,0.62,0.74
42709a59805e9bec4d11871de2649cbd,相关,xiang guan,15.10,15.38
c51ffc0a510e90e281f8a23854317e92,暴雨,bao yu,9.48,9.68
e0c35e49e6a2e5da5bb4a0f971e2f44d,暴雨,bao yu,4.88,5.41
4005187f8c7fec0747f90a6f77abc837,暴雨,bao yu,7.56,8.17
a1c2fdd2a2af56fa2acac5b8296ecdcd,暴雨,bao yu,5.44,5.74
559159646380c3cd81ede7cd83e27f87,贵州,gui zhou,14.34,14.70
2a46bd263e1eec12a12c9f41c8e56c54,贵州,gui zhou,11.32,11.74
4005187f8c7fec0747f90a6f77abc837,贵州,gui zhou,2.78,3.06
8e8faeb267381f757a6a849c4216f889,通过,tong guo,0.82,1.28
1a82dbd4101077682cb723ca4621b44d,通过,tong guo,2.06,2.28
26b9cc70c3d8326cb4f42dd773bae9ba,通过,tong guo,0.01,1.01
5b6bd2037e77f81d01d7edc347e2d1c9,通过,tong guo,2.37,2.80
afe7e416472c15a1ae85bb0e7f1a043d,中午,zhong wu,1.33,1.64
fadb85bd740895e95b84e00d4e7b701f,中午,zhong wu,1.30,1.54
e0c35e49e6a2e5da5bb4a0f971e2f44d,中午,zhong wu,1.52,1.88
e914f60fc7902f295f8708a00ffab144,中午,zhong wu,1.50,1.82
821e8b8cc45c06b3ef72491e81afd438,不,bu,3.33,3.46
7d70fb500aa7cc77cd3a32daaff851dc,不,bu,0.56,0.64
46e1b41256aeac784dd0554a4c65b435,不,bu,4.20,4.30
217b2684eeba677dd5c58419fa4cf4a7,不,bu,0.62,0.76
1f7760551389f7e321671a086167e282,不,bu,1.56,1.66
2608dda91ef8f1073f7f635feee45519,不,bu,7.74,7.86
98eeaa0b00ae19e540e408ba91d07ce7,不,bu,4.04,4.14
0bc7dc936312395b39f4729ad20e2b71,不,bu,0.50,0.62
8c498433267a1f6a59670c8f389725a8,不,bu,0.03,0.20
51d0f2cf3b754c4602e9beb5f74cb023,不,bu,2.20,2.34
0c1e9843106dea6cd9a349cacec1c9b9,不,bu,3.22,3.42
a9c432c5436a1687ae0e0883cdd12877,所以,suo yi,1.66,1.93
987206a39e9ac804d3ae09d4fc82dc3b,所以,suo yi,4.00,4.32
a115b0a72944c10cfd04f525725fcb6b,所以,suo yi,7.42,8.14
f3b844db301e1ef21e236c510f6e4739,好,hao,5.90,6.04
f8f9af5e17a96bbd88252656ec8a65e5,好,hao,1.34,1.54
3be043fc4dc4cf9ab6f4a776e7cb1d36,好,hao,1.83,2.03
46e1b41256aeac784dd0554a4c65b435,好,hao,4.30,4.64
0637927582bbcfbb4733661cef82ac82,好,hao,5.89,6.03
a30ae8080c8a10b2e6d27106beafc243,好,hao,7.81,8.34
188844c557a37fb9c923f869d4ed160d,好,hao,0.52,0.70
0bc7dc936312395b39f4729ad20e2b71,好,hao,0.62,0.74
f1e8457c13bee2f92cfa5b78463d3b73,好,hao,6.44,6.76
f63f6835dc1d953c6906f49df457ac1b,好,hao,4.36,4.70
0c1e9843106dea6cd9a349cacec1c9b9,好,hao,3.42,3.68
66cf85f3977c5a2cd323ed3798e74faa,事,shi,1.80,1.88
33a9bf90ff5317fceb3d9aaa91e964fd,发生,fa sheng,11.08,11.44
42709a59805e9bec4d11871de2649cbd,发生,fa sheng,3.84,4.16
4005187f8c7fec0747f90a6f77abc837,与,yu,9.44,9.56
2eba72d26e45d7adb44c6d21824782a4,兰,lan,2.56,3.06
57e238eb63a7c8789956c5c637cd3693,自己,zi ji,1.70,1.90
b48fb381a7546f3db4302daa7731a02a,自己,zi ji,4.18,4.44
a9c432c5436a1687ae0e0883cdd12877,了,le,3.21,3.37
4e1e8d32d6857c3c088a8f3be07163a8,了,le,7.12,7.21
1a82dbd4101077682cb723ca4621b44d,了,le,6.07,6.29
0ed94c80b212fcd05a0a8f6c2c6a7ef5,了,le,3.58,3.80
6a9241c2fe3b3e22f9d58d1d57c2fa83,了,le,0.42,0.50
4128f9e51260b4808810077c115d115e,了,le,6.42,6.48
2b8c00f3bb743148f983870612c6dab8,了,le,5.52,5.64
0b5dad4eea0c127c60844046e280d4fa,了,le,3.55,3.63
bb1f2079367595d6790d59cd14a903b9,了,le,0.74,0.86
fb90da78ef10522d3ec5171eff0e7698,了,le,3.65,3.72
0637927582bbcfbb4733661cef82ac82,了,le,6.03,6.31
f60d1955a40c843d3c95234108b8fa5a,了,le,5.54,5.66
2b98ac45cf418cac25b93a44370d1293,了,le,1.76,1.90
2eba72d26e45d7adb44c6d21824782a4,了,le,6.28,6.40
4d9bceab5924ed0f9954d145000cbb85,了,le,11.04,11.14
2daca543284bd0dbcf0f7fe2608343d9,了,le,0.68,0.86
46d1eb080fd571d416ab63f40087b2ab,了,le,0.34,0.46
9ba8f87067e2d212a60a7267cafa2fdd,了,le,10.18,10.32
5e9eed6515b2a609191708c92fcf8dd0,了,le,9.12,9.20
d428c2414bf46414ba8454e424c32e05,了,le,1.98,2.20
0c1e9843106dea6cd9a349cacec1c9b9,了,le,3.68,3.88
b09840f2aa2bfaad74a3e955832a7296,开,kai,1.42,1.62
1fedc42da25c27f5533d5e66857ac02b,看,kan,0.90,1.12
f8f9af5e17a96bbd88252656ec8a65e5,看,kan,0.40,0.62
1a199eda7a44811422123a15a6068509,看,kan,1.10,1.48
3be043fc4dc4cf9ab6f4a776e7cb1d36,看,kan,0.89,1.11
3e2367d729b193b4382b11f54f24b85a,看,kan,3.02,3.18
42709a59805e9bec4d11871de2649cbd,看,kan,12.22,12.44
a58ab303e2cdfbab93463e8dd6e62629,看,kan,1.26,1.46
9a1a4a415cc220a21027c549e1a83ef7,看,kan,2.96,3.20
821e8b8cc45c06b3ef72491e81afd438,两,liang,4.58,4.78
d44f34b4df007b4347711e83f1bc3c76,两,liang,8.27,8.49
fadb85bd740895e95b84e00d4e7b701f,两,liang,14.18,14.34
000929523f43ef3bcf516c1639b188be,两,liang,8.08,8.24
b87c938672b12a0119249dae5f434088,两,liang,1.80,2.02
b87c938672b12a0119249dae5f434088,两,liang,8.46,8.80
481794a5f80a1f76a220305606c5c8f9,最高,zui gao,11.56,11.96
0bb75f27d902d5ee86c507521cc8d081,最高,zui gao,16.83,17.06
b2a30b80535917e5790a2ae74e75796d,最高,zui gao,15.08,15.46
155624f5ccdc6272c150bf583fd66ea0,最高,zui gao,12.72,12.98
155624f5ccdc6272c150bf583fd66ea0,西部,xi bu,8.64,8.98
704355f1f437ddc7cb17882f3e5fe597,分子,fen zi,0.12,0.54
f1e8457c13bee2f92cfa5b78463d3b73,可,ke,0.06,0.30
bb1f2079367595d6790d59cd14a903b9,月,yue,2.50,2.70
4e1e8d32d6857c3c088a8f3be07163a8,级,ji,4.74,4.94
37822ba6c2a0ebf6f8a4c5a5769c97d9,要,yao,3.02,3.10
704355f1f437ddc7cb17882f3e5fe597,要,yao,3.31,3.48
0a6a550ef368d48690ac8fcec554a7ad,要,yao,1.05,1.24
b116c8fb8bb38b4408909e34c2ec236f,要,yao,16.78,16.92
b09840f2aa2bfaad74a3e955832a7296,要,yao,10.25,10.39
6b6c4f1c5b9c3afa877b65c9916d260a,要,yao,1.23,1.32
2eba72d26e45d7adb44c6d21824782a4,要,yao,1.62,1.78
6cf662e7c810486047bfdc343a1596c9,要,yao,0.70,0.92
bfbcfad13915f02d0648a01b8c2308b0,要,yao,6.05,6.25
f531eeac302e91d7d8845bfa55b0b6cd,要,yao,0.69,1.00
edb9a8083acb14b35ad246b0eb0abf8b,量,liang,8.45,8.80
f1e8457c13bee2f92cfa5b78463d3b73,量,liang,3.56,3.80
f63f6835dc1d953c6906f49df457ac1b,量,liang,1.50,1.72
4d6b1271611f0906a90ebbb593acc682,正,zheng,0.76,1.07
a115b0a72944c10cfd04f525725fcb6b,活动,huo dong,10.02,10.42
f63f6835dc1d953c6906f49df457ac1b,通,tong,1.72,1.95
a30ae8080c8a10b2e6d27106beafc243,没,mei,7.25,7.35
4b426c2eb118cac0aa84da247efb1945,没,mei,6.02,6.12
d428c2414bf46414ba8454e424c32e05,没,mei,1.12,1.24
d428c2414bf46414ba8454e424c32e05,没,mei,2.74,2.90
81769eef3adff1e3a5ed85ab02620333,这,zhe,8.80,9.05
1a82dbd4101077682cb723ca4621b44d,这,zhe,2.28,2.44
481794a5f80a1f76a220305606c5c8f9,这,zhe,16.04,16.20
1fedc42da25c27f5533d5e66857ac02b,这,zhe,3.46,3.62
821e8b8cc45c06b3ef72491e81afd438,这,zhe,4.46,4.58
e4579ef732dd85803549dc864a538541,这,zhe,0.63,0.92
e4579ef732dd85803549dc864a538541,这,zhe,1.56,1.72
7d70fb500aa7cc77cd3a32daaff851dc,这,zhe,3.73,3.83
95084465d61995f6859646ed8c971e44,这,zhe,0.69,0.98
46e1b41256aeac784dd0554a4c65b435,这,zhe,0.44,0.60
56fec0edbdbd0e06ce0f0f376367fdab,这,zhe,14.10,14.26
66cf85f3977c5a2cd323ed3798e74faa,这,zhe,1.56,1.64
0bb75f27d902d5ee86c507521cc8d081,这,zhe,5.12,5.26
0bb75f27d902d5ee86c507521cc8d081,这,zhe,10.16,10.26
f60d1955a40c843d3c95234108b8fa5a,这,zhe,1.48,1.73
2b98ac45cf418cac25b93a44370d1293,这,zhe,0.14,0.34
1226b612f77dfa6869813be201caba76,这,zhe,16.52,16.68
8c498433267a1f6a59670c8f389725a8,这,zhe,1.94,2.04
e0c35e49e6a2e5da5bb4a0f971e2f44d,这,zhe,3.18,3.34
4005187f8c7fec0747f90a6f77abc837,这,zhe,4.30,4.40
42709a59805e9bec4d11871de2649cbd,这,zhe,4.25,4.38
0bdc2c4da7af9a14e4aa2333dfae4af2,这,zhe,0.63,0.86
5e9eed6515b2a609191708c92fcf8dd0,这,zhe,3.86,3.98
ea58953820217eb8859904e78e30700e,这,zhe,1.33,1.51
6fa2edaa12fdb29a7f8bd3cbbc155f9c,这,zhe,5.00,5.18
a115b0a72944c10cfd04f525725fcb6b,这,zhe,8.97,9.53
a115b0a72944c10cfd04f525725fcb6b,这,zhe,9.53,9.78
b87c938672b12a0119249dae5f434088,这,zhe,1.55,1.80
b87c938672b12a0119249dae5f434088,这,zhe,6.84,6.99
b87c938672b12a0119249dae5f434088,这,zhe,8.22,8.46
51d0f2cf3b754c4602e9beb5f74cb023,当时,dang shi,0.32,0.72
b09840f2aa2bfaad74a3e955832a7296,八,ba,12.63,12.81
f60d1955a40c843d3c95234108b8fa5a,八,ba,2.40,2.72
190cc6419427439fdad41a8d0b7d20ca,八,ba,2.12,2.43
7f14099a86f48a15dc165de9ae9983ef,发展,fa zhan,7.67,7.99
000929523f43ef3bcf516c1639b188be,发展,fa zhan,11.79,12.22
481794a5f80a1f76a220305606c5c8f9,东部,dong bu,10.48,10.80
481794a5f80a1f76a220305606c5c8f9,东部,dong bu,14.96,15.28
afe7e416472c15a1ae85bb0e7f1a043d,东部,dong bu,14.18,14.54
5487af59be91c10dff6aa6a8a5863061,东部,dong bu,11.12,11.44
559159646380c3cd81ede7cd83e27f87,东部,dong bu,4.74,5.08
559159646380c3cd81ede7cd83e27f87,东部,dong bu,7.49,7.76
56b198d0ed123c5285e5f7e6cc086723,东部,dong bu,10.16,10.48
1e08ac46878ce85eb3614d7bba73396c,东部,dong bu,3.88,4.26
155624f5ccdc6272c150bf583fd66ea0,东部,dong bu,7.12,7.46
d3ea276ea5611ec6aa17e82923b9e29a,东部,dong bu,6.38,6.72
d3ea276ea5611ec6aa17e82923b9e29a,东部,dong bu,14.16,14.52
e914f60fc7902f295f8708a00ffab144,东部,dong bu,8.22,8.48
a1c2fdd2a2af56fa2acac5b8296ecdcd,东部,dong bu,9.66,9.94
e346837732e62bfdedc8c80d41186df4,东部,dong bu,7.48,7.76
5b6bd2037e77f81d01d7edc347e2d1c9,转,zhuan,5.46,5.62
188844c557a37fb9c923f869d4ed160d,时间,shi jian,0.04,0.30
190cc6419427439fdad41a8d0b7d20ca,王,wang,2.00,2.12
0a6a550ef368d48690ac8fcec554a7ad,把,ba,1.24,1.38
cd875aa9cae94967fca5e4cc91b8c764,把,ba,0.32,0.48
bb1f2079367595d6790d59cd14a903b9,把,ba,2.94,3.18
96fc9aed40395c90412706de3db78078,把,ba,1.96,2.18
81eaaf89e2e5586e5bb4e00392cc81ad,把,ba,5.16,5.32
b48fb381a7546f3db4302daa7731a02a,把,ba,4.04,4.18
92096578da8262840803ba3eb39962f2,用,yong,1.18,1.34
9ba8f87067e2d212a60a7267cafa2fdd,用,yong,8.40,8.56
a04bba842d8347baea683c3fb1b870df,用,yong,2.02,2.18
000929523f43ef3bcf516c1639b188be,推动,tui dong,7.41,7.90
34bac23aa6c3d2bdb38817d48e569cfa,国际,guo ji,0.32,0.58
5487af59be91c10dff6aa6a8a5863061,地,de,5.04,5.14
559159646380c3cd81ede7cd83e27f87,地,de,16.40,16.50
2a46bd263e1eec12a12c9f41c8e56c54,地,de,14.24,14.34
56b198d0ed123c5285e5f7e6cc086723,地,de,10.78,10.92
b116c8fb8bb38b4408909e34c2ec236f,地,de,17.40,17.54
1f7760551389f7e321671a086167e282,地,de,8.98,9.29
1f7760551389f7e321671a086167e282,地,de,15.50,15.68
0bb75f27d902d5ee86c507521cc8d081,地,de,2.08,2.20
c51ffc0a510e90e281f8a23854317e92,地,de,7.06,7.22
1226b612f77dfa6869813be201caba76,地,de,4.58,4.66
fadb85bd740895e95b84e00d4e7b701f,地,de,13.76,13.96
d3ea276ea5611ec6aa17e82923b9e29a,地,de,7.96,8.08
d3ea276ea5611ec6aa17e82923b9e29a,地,de,12.18,12.28
d3ea276ea5611ec6aa17e82923b9e29a,地,de,17.14,17.40
a1c2fdd2a2af56fa2acac5b8296ecdcd,地,de,10.10,10.28
3c3cdff5e5c983f95e5c1e66eebd3dab,地,de,3.00,3.10
e346837732e62bfdedc8c80d41186df4,地,de,7.90,8.00
f8f9af5e17a96bbd88252656ec8a65e5,得,de,3.08,3.51
188844c557a37fb9c923f869d4ed160d,得,de,0.42,0.52
4005187f8c7fec0747f90a6f77abc837,江苏,jiang su,3.64,4.04
57e238eb63a7c8789956c5c637cd3693,当,dang,3.60,3.85
cadd5e7b7fdf00921bad9b8293bffb1a,能,neng,0.39,0.52
fb90da78ef10522d3ec5171eff0e7698,能,neng,8.44,8.60
a30ae8080c8a10b2e6d27106beafc243,能,neng,0.26,0.38
a30ae8080c8a10b2e6d27106beafc243,能,neng,9.55,9.71
d44f34b4df007b4347711e83f1bc3c76,就是说,jiu shi shuo,4.20,4.99
76fd52b67a97ed2f8eb34f35c9692d84,岁,sui,2.98,3.14
821e8b8cc45c06b3ef72491e81afd438,要求,yao qiu,2.35,3.07
e4579ef732dd85803549dc864a538541,网,wang,0.32,0.63
95084465d61995f6859646ed8c971e44,网,wang,0.38,0.69
b87c938672b12a0119249dae5f434088,去年,qu nian,4.42,5.10
d44f34b4df007b4347711e83f1bc3c76,按照,an zhao,7.35,7.93
db0470ba488c0bdfd8901c32b6eb196b,按照,an zhao,0.88,1.14
42709a59805e9bec4d11871de2649cbd,背景,bei jing,1.88,2.11
4005187f8c7fec0747f90a6f77abc837,部,bu,8.66,8.80
3c3cdff5e5c983f95e5c1e66eebd3dab,部,bu,0.12,0.34
481794a5f80a1f76a220305606c5c8f9,全国,quan guo,2.40,2.84
fadb85bd740895e95b84e00d4e7b701f,全国,quan guo,1.54,1.92
5487af59be91c10dff6aa6a8a5863061,气温,qi wen,13.86,14.14
1e08ac46878ce85eb3614d7bba73396c,气温,qi wen,7.58,7.89
1e08ac46878ce85eb3614d7bba73396c,气温,qi wen,10.24,10.51
