7bb47452d9c2e1846a8aafee92d73c4c,批,pi,10.28,10.46
1012923f026a461c90193ba5f24ed39d,现在,xian zai,3.80,4.12
785129585d1c362144ce6b4da93405a0,现在,xian zai,5.26,5.63
a04bba842d8347baea683c3fb1b870df,现在,xian zai,0.07,0.44
f7d9f0bd78971979068b3bf3c6aee458,现在,xian zai,2.13,2.41
0e1c9bb9564bb4c3b74e805666ffbecf,多,duo,1.24,1.38
7fd5c473db171ab0192612002b1be206,多,duo,2.38,2.47
29d8b24a2b973ef92d04aaa591069946,多,duo,1.14,1.24
78567962bfa875ab44dad6da5c44e299,多,duo,2.90,3.02
e58e968e6a8e2e8b185f734ded0cc3ff,多,duo,9.03,9.62
1b32e5203abd55c9e105f33a2dd7fb64,多,duo,6.14,6.32
e8f9b6ec858852e52aee5c99e5951a79,多,duo,3.88,4.04
cf3e408efd05ea9b10e2e3286a79cd1c,多,duo,3.07,3.43
bb1f2079367595d6790d59cd14a903b9,多,duo,1.16,1.26
017a3af479cb78225497cf52224deed2,多,duo,4.78,4.94
017a3af479cb78225497cf52224deed2,多,duo,16.49,16.76
4e18492cfcdbc4cf6501c8812142d8ca,多,duo,2.92,3.26
1f7760551389f7e321671a086167e282,多,duo,1.66,1.88
54af87d7f3038a52e833f8523de721b7,多,duo,1.02,1.16
14650ef8578bc708d74af9bf2dfb2e70,多,duo,5.14,5.25
a66dc5075b6d4c05d36932a1355a3d38,多,duo,4.40,4.62
cb0f0c5f563146770ca57e1f3a0b8576,多,duo,2.40,2.58
6448b8762329a9bc6da7368621617afb,多,duo,6.02,6.18
98eeaa0b00ae19e540e408ba91d07ce7,多,duo,4.14,4.34
5da9461555623638da8a800f168b7093,多,duo,4.34,4.48
2daca543284bd0dbcf0f7fe2608343d9,多,duo,2.32,2.48
95f7baf5e3284e224d1dcd297e5f25b8,多,duo,0.94,1.10
5e8e6de930e0cb253f7e13edcccb702e,多,duo,5.36,5.52
250743bb70cfe017befacfaef488dba3,多,duo,3.71,4.02
cde4973dfa76b3bf6078f9ac4b1cd97f,多,duo,15.48,15.66
afe7e416472c15a1ae85bb0e7f1a043d,主要,zhu yao,1.96,2.16
c3b492b03a8ad999d7bd24df8321897a,主要,zhu yao,0.76,0.98
a20531c5b7c86ef661c446508227c7aa,主要,zhu yao,7.52,7.82
260015a8ebf757aa217723cdeb523da6,主要,zhu yao,4.70,5.10
57d27724eb608e16755e4a517296ea2d,整个,zheng ge,2.60,2.98
213e6e207958d5aa22085304bb54a9d3,整个,zheng ge,0.54,0.96
9db446e789431de0f4c7f9aaecdae207,整个,zheng ge,0.14,0.42
9a1a4a415cc220a21027c549e1a83ef7,整个,zheng ge,6.78,7.10
9a1a4a415cc220a21027c549e1a83ef7,整个,zheng ge,7.88,8.10
05f11b004bfa4bbdcdf3d335009d641e,整个,zheng ge,0.30,0.91
3668c0f39ba4de8a8f4ed1bdaace29cb,没有,mei you,0.46,0.66
db6b367cf5a33fa4e6a1c3991bfcd3d1,没有,mei you,2.04,2.32
d00c5000bec14f9a20f778204d2c7b8e,没有,mei you,3.16,3.38
abccca0f8bce9bfffa5e0fd1e01742e5,没有,mei you,3.34,4.38
abccca0f8bce9bfffa5e0fd1e01742e5,没有,mei you,10.96,11.18
0bc6a61179a1f67098a5bc6b0c406020,没有,mei you,1.92,2.09
41c5faa24ce4617332a21b83ab43ce09,没有,mei you,1.29,1.42
41c5faa24ce4617332a21b83ab43ce09,没有,mei you,1.96,2.43
bbc35fdbd2517bc278a6763890687b84,没有,mei you,5.63,5.87
f293aefc41d8f0b7b2b63e2ddfef2224,没有,mei you,4.35,4.59
1f6d1c449bad10b00d2f0ded035e1872,没有,mei you,1.78,2.02
71d01752981ac8f6c3c1b605ff72be3c,没有,mei you,4.02,4.34
af954f48816fc7cd9b1cbf17b952a9fe,没有,mei you,5.74,6.00
92096578da8262840803ba3eb39962f2,没有,mei you,0.98,1.18
c2d118c3f5dc18c95a95c5556c243fe1,没有,mei you,6.32,6.56
2b98ac45cf418cac25b93a44370d1293,没有,mei you,2.44,2.64
0bc7dc936312395b39f4729ad20e2b71,没有,mei you,0.92,1.10
94886ea72a0fd79e56f76c23bfa1e5a1,没有,mei you,7.28,7.48
a115b0a72944c10cfd04f525725fcb6b,没有,mei you,0.50,0.90
58b6065ef4fc014560790d0309494c34,没有,mei you,1.48,2.06
58b6065ef4fc014560790d0309494c34,没有,mei you,2.06,2.40
a599852bbade42dcca2bb1280c5fbf6c,没有,mei you,10.22,10.51
d3ea276ea5611ec6aa17e82923b9e29a,高温,gao wen,11.42,11.68
3992c04fa055d472daae16914c1e3155,不少,bu shao,15.45,15.89
2a46bd263e1eec12a12c9f41c8e56c54,不少,bu shao,5.68,5.96
d655caab451c7b4494e23563ba11cecb,报道,bao dao,1.02,1.36
9a1a4a415cc220a21027c549e1a83ef7,报道,bao dao,2.06,2.54
2531761ee37125accd742683a9ce0fdc,更,geng,3.72,4.07
2531761ee37125accd742683a9ce0fdc,更,geng,4.78,5.04
2531761ee37125accd742683a9ce0fdc,更,geng,5.81,6.12
e8f9b6ec858852e52aee5c99e5951a79,更,geng,6.71,7.01
89e669192ce7aa8c3bb2c4e97da94f74,更,geng,0.77,0.96
b02a82800644933dfb30b895759ba53a,更,geng,1.70,2.24
57e238eb63a7c8789956c5c637cd3693,更,geng,9.36,9.50
d60cbfc8ead4f4968845bb438cede442,更,geng,5.71,5.93
cdb8d6ef94392aa9fe474a4cfe7cec57,更,geng,12.84,12.96
f6cb196bd9f63f1f0a7b7079ec47f916,这里,zhe li,0.56,0.82
7903789a5b74134fa024b9fc87c73459,这里,zhe li,9.50,9.68
773a92ffdfd8a023a824bf006f35414e,这里,zhe li,0.96,1.34
d00c5000bec14f9a20f778204d2c7b8e,这里,zhe li,2.32,2.66
2a11416b99281cc3d1fbfac87641fea7,这里,zhe li,7.91,8.27
51c190ae77a8379b41639c417ca3084e,这里,zhe li,2.22,2.48
996b7556e6fc72f8416c3dd3efb9c8b9,太,tai,2.68,2.90
a30ae8080c8a10b2e6d27106beafc243,太,tai,10.33,10.53
f7f3c76db9020b4adf4da5f70b907ff0,太,tai,3.08,3.24
1226b612f77dfa6869813be201caba76,太,tai,15.16,15.36
e2ae2fdcd170c24549440e5c4506f3df,太,tai,2.88,3.05
ced150b2fda715054da454c58b079f5a,期,qi,5.08,5.21
fd26e3899eff702a88dabf39e4104b14,做好,zuo hao,0.87,1.32
9ae0ebefd05e2daf7e972906969d5e7f,做好,zuo hao,1.06,1.46
3df490bace33e2ea906d3b8edf0d7f28,做好,zuo hao,5.50,5.84
b48fb381a7546f3db4302daa7731a02a,做好,zuo hao,5.10,5.40
c46d5216f1e5c32fb086190a424ea1ef,企业,qi ye,0.92,1.22
2a965b3c3713a00bfe3b034e10ed338d,企业,qi ye,8.34,8.74
213e6e207958d5aa22085304bb54a9d3,企业,qi ye,2.70,3.08
bfbcfad13915f02d0648a01b8c2308b0,企业,qi ye,4.45,4.81
bfbcfad13915f02d0648a01b8c2308b0,企业,qi ye,5.49,5.93
cb12abe1c49c24840d6df322b89094e4,企业,qi ye,10.08,10.77
3a918de127530bc1e83c8828abdc65b5,企业,qi ye,0.60,1.16
c42fd24d1b0efec672f58fdc33947a09,企业,qi ye,5.00,5.26
9249b55775e074a6e2ec686857e18a69,正在,zheng zai,5.98,6.24
bd079060b334de20b8765f7d5c8721dc,正在,zheng zai,3.38,3.64
4fddaa9deb63ce77ac6b4b023af257ab,正在,zheng zai,4.07,4.44
d7cf6b69cd8199bccb0a43920b037e7f,正在,zheng zai,1.12,1.50
42709a59805e9bec4d11871de2649cbd,正在,zheng zai,3.48,3.84
a58ab303e2cdfbab93463e8dd6e62629,正在,zheng zai,2.02,2.34
250743bb70cfe017befacfaef488dba3,正在,zheng zai,6.49,6.86
1a82dbd4101077682cb723ca4621b44d,斯,si,8.75,8.89
4c849082fd2a08213603543a4768f81e,并,bing,4.20,4.49
db6b367cf5a33fa4e6a1c3991bfcd3d1,并,bing,1.88,2.04
880672c29ebd9be969bd9112f89a7521,并,bing,3.95,4.65
97402a4a0fbad0afc2abf02b1789cb89,并,bing,6.50,6.70
94886ea72a0fd79e56f76c23bfa1e5a1,并,bing,7.10,7.28
3668c0f39ba4de8a8f4ed1bdaace29cb,预警,yu jing,3.28,3.70
079e74c9648bedd8aba68be375c07ac3,然后,ran hou,1.55,1.76
7eccd51b594678642201abc7a03ed787,然后,ran hou,1.99,2.29
d00c5000bec14f9a20f778204d2c7b8e,然后,ran hou,3.58,3.88
b8f04f86b3b5033e99be6debf2e3b894,然后,ran hou,0.03,0.19
cd875aa9cae94967fca5e4cc91b8c764,然后,ran hou,3.88,4.19
f42a7f5d44569c78045dc658fa7d4ce1,然后,ran hou,7.66,8.00
57e238eb63a7c8789956c5c637cd3693,然后,ran hou,10.88,11.21
fb90da78ef10522d3ec5171eff0e7698,然后,ran hou,2.94,3.22
fb90da78ef10522d3ec5171eff0e7698,然后,ran hou,7.84,8.24
bb40844fc1be6f57d8922d1c42a50602,然后,ran hou,1.92,2.18
54af87d7f3038a52e833f8523de721b7,然后,ran hou,1.89,2.71
7bb47452d9c2e1846a8aafee92d73c4c,然后,ran hou,9.11,9.40
89fe248485c62466fd6580545ee19259,然后,ran hou,3.17,3.37
2b98ac45cf418cac25b93a44370d1293,然后,ran hou,0.64,0.96
2b98ac45cf418cac25b93a44370d1293,然后,ran hou,3.26,3.48
02f557a0e6fda5a57b642d7f3e03b272,然后,ran hou,2.18,2.81
6689f166fec68e394fbcd72ee7524dde,然后,ran hou,2.73,3.04
6689f166fec68e394fbcd72ee7524dde,然后,ran hou,5.86,6.12
d3d7068e93080d7988d9efa491f37f3e,然后,ran hou,1.99,2.41
6ce80899cf332884301f090a21fc5dea,然后,ran hou,2.57,2.93
6ce80899cf332884301f090a21fc5dea,然后,ran hou,6.33,6.63
bf1d4c21e143f4e055f6e0d2e252d029,坚定,jian ding,1.28,1.70
22750b107068702a422ec4c570b876c4,双,shuang,4.20,4.54
f2d5ad90d9b163d0e7786d049507636c,这种,zhe zhong,12.36,12.71
2655f39d75f6fc99e06934d54d0b6187,这种,zhe zhong,2.88,3.16
eea4b87d5aa3bd055fa5c66706daf207,这种,zhe zhong,0.53,0.84
acad87ed8cd0163b8d5a412b8b0e2a71,这种,zhe zhong,7.79,8.12
017a3af479cb78225497cf52224deed2,这种,zhe zhong,17.38,17.70
017a3af479cb78225497cf52224deed2,这种,zhe zhong,18.26,18.58
bbc35fdbd2517bc278a6763890687b84,这种,zhe zhong,8.99,9.33
68707c77dc5237d23fa00361179782de,这种,zhe zhong,0.07,0.52
04169dbcb72ed062e0a93d03bdaa9e4c,这种,zhe zhong,2.20,2.54
543309b025fc8167f17fa736a8809245,这种,zhe zhong,2.41,2.72
543309b025fc8167f17fa736a8809245,这种,zhe zhong,3.32,3.50
4844fc2819c9d785d99670cde62a02f9,这种,zhe zhong,6.72,7.07
204eb4d8d756d361f3d62669c324f655,这种,zhe zhong,0.12,0.38
f4ec5c528a7d03f91ccbab03d02eb970,这种,zhe zhong,1.26,1.76
69c178d1a4d247cd034f9727bd202785,这种,zhe zhong,4.49,4.97
e72ec6f9936e0719b19d81a7ce97c43f,这种,zhe zhong,4.25,4.66
0653eb727f8432521d6a16f6364ecb16,这种,zhe zhong,1.66,1.96
51d0f2cf3b754c4602e9beb5f74cb023,这种,zhe zhong,1.18,1.48
a115b0a72944c10cfd04f525725fcb6b,这种,zhe zhong,1.20,1.67
6ce80899cf332884301f090a21fc5dea,这种,zhe zhong,0.49,1.05
18d6e2b9b7f260ed683b9ce5575505ad,讲,jiang,2.44,2.80
3368e9b217d7b61289f4d77baf32002b,讲,jiang,2.43,2.70
eac0f1ed29ba7dc1fa1f6c411bde5195,讲,jiang,0.24,0.44
02f557a0e6fda5a57b642d7f3e03b272,讲,jiang,10.09,10.25
d6e90c8ca358ecb4c59839f8a5444cfb,有的,you de,1.33,1.60
2608dda91ef8f1073f7f635feee45519,有的,you de,0.96,1.26
efb75ad0f357652ee624dc36e09f57bc,有的,you de,15.45,15.75
f945ce1829b08bba8d2228fc9f547ddf,二十,er shi,2.18,2.53
12b01cbda3530baf0d86950e3487f156,二十,er shi,6.88,7.28
1b32e5203abd55c9e105f33a2dd7fb64,二十,er shi,1.72,2.38
396f4a661cbaf2ca6c89cb8ca182409d,二十,er shi,3.26,3.50
3835daddc1ba7ea6721c5ab4e5c5f837,都,dou,1.57,1.75
1c7c76084a27c1b19cedb8408ad1cbca,都,dou,6.69,6.90
1c7c76084a27c1b19cedb8408ad1cbca,都,dou,7.38,7.54
ed2daceff30f0854bca1f891fec4b184,都,dou,3.35,3.55
1a82dbd4101077682cb723ca4621b44d,都,dou,10.26,10.39
9249b55775e074a6e2ec686857e18a69,都,dou,1.85,2.00
0b71a255539e0743f284c6a2a4234088,都,dou,1.25,1.36
29d8b24a2b973ef92d04aaa591069946,都,dou,1.84,1.98
78567962bfa875ab44dad6da5c44e299,都,dou,4.66,5.04
e4579ef732dd85803549dc864a538541,都,dou,1.72,1.90
bfb944608b6f82730db0025b1b9276ed,都,dou,5.60,5.93
95084465d61995f6859646ed8c971e44,都,dou,1.62,1.78
293c4016c45981c785c61a88fbf93993,都,dou,10.39,10.88
293c4016c45981c785c61a88fbf93993,都,dou,13.22,13.34
0bc6a61179a1f67098a5bc6b0c406020,都,dou,1.80,1.92
bbc35fdbd2517bc278a6763890687b84,都,dou,5.46,5.63
29ed0c8169fec681cfb7ba6acd5c1597,都,dou,4.82,4.96
29ed0c8169fec681cfb7ba6acd5c1597,都,dou,7.74,7.94
aaaef146f51efc2110dd6b25c712274c,都,dou,0.62,0.72
e8e748c09e6e60abce6554f6b4b1fe0c,都,dou,1.95,2.14
c46d5216f1e5c32fb086190a424ea1ef,都,dou,1.22,1.32
2848d4a8d2414745bbc05dd7ef93de29,都,dou,2.66,2.80
a5ac060e8bcdd1164e52b682aa9ad627,都,dou,0.13,0.24
92096578da8262840803ba3eb39962f2,都,dou,0.90,0.98
1bc92e2aaaf8f599420d71046b003961,都,dou,1.56,1.70
213e6e207958d5aa22085304bb54a9d3,都,dou,5.15,5.38
02f557a0e6fda5a57b642d7f3e03b272,都,dou,0.74,0.90
02f557a0e6fda5a57b642d7f3e03b272,都,dou,3.73,3.85
02f557a0e6fda5a57b642d7f3e03b272,都,dou,5.27,5.37
02f557a0e6fda5a57b642d7f3e03b272,都,dou,6.47,6.61
02f557a0e6fda5a57b642d7f3e03b272,都,dou,9.87,9.99
1226b612f77dfa6869813be201caba76,都,dou,14.80,14.92
9db446e789431de0f4c7f9aaecdae207,都,dou,1.43,1.62
9db446e789431de0f4c7f9aaecdae207,都,dou,3.26,3.63
9de97a1e5c11a2a3116e74cb208e1c73,都,dou,3.07,3.28
56879e346820ffc0d865dec8606f05ea,都,dou,5.93,6.18
3043568cd7025bccf7957cfb79c0351d,都,dou,1.24,1.38
20c68a4cc07c1837d83a7e258c820e2d,都,dou,3.80,4.48
20c68a4cc07c1837d83a7e258c820e2d,都,dou,4.48,4.84
4be17e94ef809edf558adb537a0b7609,都,dou,0.56,0.72
9ba8f87067e2d212a60a7267cafa2fdd,都,dou,2.80,3.02
51c190ae77a8379b41639c417ca3084e,都,dou,1.26,1.52
95f7baf5e3284e224d1dcd297e5f25b8,都,dou,4.46,4.62
95f7baf5e3284e224d1dcd297e5f25b8,都,dou,12.35,12.82
95f7baf5e3284e224d1dcd297e5f25b8,都,dou,13.81,14.35
1012923f026a461c90193ba5f24ed39d,都,dou,2.60,2.76
785129585d1c362144ce6b4da93405a0,都,dou,0.84,1.00
785129585d1c362144ce6b4da93405a0,都,dou,6.20,6.39
3a918de127530bc1e83c8828abdc65b5,都,dou,1.59,1.77
c46a607bed618ab286335c95c20fcbe4,都,dou,2.04,2.60
d072cfa8fc74c21871bb7b42c1f9e15f,都,dou,2.69,2.88
9dae494e638d17e7662bc04ee8093d3f,都,dou,0.55,0.64
9dae494e638d17e7662bc04ee8093d3f,都,dou,1.34,1.46
a115b0a72944c10cfd04f525725fcb6b,都,dou,0.30,0.50
1a82dbd4101077682cb723ca4621b44d,国,guo,5.79,5.97
8666d5dc62338765e45bcbff687943c4,国,guo,4.84,5.18
8666d5dc62338765e45bcbff687943c4,国,guo,5.32,5.54
d44f34b4df007b4347711e83f1bc3c76,国,guo,8.49,8.69
aaaef146f51efc2110dd6b25c712274c,国,guo,1.00,1.18
a30ae8080c8a10b2e6d27106beafc243,国,guo,10.93,11.11
d77b519d558bb3552cde9fa4147bd0df,国,guo,0.18,0.34
000929523f43ef3bcf516c1639b188be,国,guo,8.24,8.34
f2bfa77bdc388dbbf84e42e277e143a8,美,mei,16.56,16.76
880672c29ebd9be969bd9112f89a7521,美,mei,5.04,5.24
05707dc2456c884e40c85209386f002f,美,mei,8.18,8.38
a3df3a49b5e9a2a9d39d4210e028920e,不仅,bu jin,0.04,0.52
56c88d57b6753a32a0b6df3aca2e9429,不仅,bu jin,0.61,1.16
e8e748c09e6e60abce6554f6b4b1fe0c,不仅,bu jin,6.12,6.40
cb12abe1c49c24840d6df322b89094e4,决定,jue ding,6.93,7.35
75d883f5ac1eff2c71fc168f4b3bb9be,巨大,ju da,2.79,3.30
6a9241c2fe3b3e22f9d58d1d57c2fa83,巨大,ju da,5.68,6.03
56b198d0ed123c5285e5f7e6cc086723,强降雨,qiang jiang yu,1.12,1.66
0bb75f27d902d5ee86c507521cc8d081,强降雨,qiang jiang yu,2.58,3.05
e914f60fc7902f295f8708a00ffab144,强降雨,qiang jiang yu,1.82,2.32
ae8a40c4c3b14ef150f95736201a89a0,指导,zhi dao,5.34,5.68
9781c28c3120425123fae15a31104ded,指导,zhi dao,0.93,1.24
1b03e9c1c3d1c3dd9c1cb8c3d790f8d0,指导,zhi dao,2.22,2.50
75d883f5ac1eff2c71fc168f4b3bb9be,项目,xiang mu,0.22,0.63
5dbf34315dcb31822b229c4394663645,项目,xiang mu,9.96,10.88
1396cfe4d4849182b83eaaff3c4207e8,项目,xiang mu,10.84,11.14
ac32d83d18a291e7b99c21aa98bb7c77,项目,xiang mu,1.88,2.30
da1818639b6eaffd49da18438127f5c6,项目,xiang mu,3.82,4.02
246742ce4f48342dc89125977cc2a213,项目,xiang mu,2.50,2.80
71d01752981ac8f6c3c1b605ff72be3c,项目,xiang mu,1.00,1.39
4b426c2eb118cac0aa84da247efb1945,项目,xiang mu,0.76,1.06
6a9241c2fe3b3e22f9d58d1d57c2fa83,可能,ke neng,1.64,1.91
17cb12b9364f52a78852be6b661c6a9f,可能,ke neng,1.44,1.72
b2b0c4ec9bd61d66ae3c0117d3a3665b,可能,ke neng,4.50,4.76
1bc92e2aaaf8f599420d71046b003961,可能,ke neng,0.14,0.69
489e2384e4e078d6f838302d69bae2e2,可能,ke neng,12.62,12.96
155624f5ccdc6272c150bf583fd66ea0,可能,ke neng,18.08,18.28
e0c35e49e6a2e5da5bb4a0f971e2f44d,可能,ke neng,15.00,15.26
4005187f8c7fec0747f90a6f77abc837,可能,ke neng,14.45,14.80
51c190ae77a8379b41639c417ca3084e,可能,ke neng,1.72,2.06
6ce80899cf332884301f090a21fc5dea,可能,ke neng,9.01,9.37
8b10dfbda8e833976078b774228d66fc,研究,yan jiu,0.44,0.96
d44f34b4df007b4347711e83f1bc3c76,研究,yan jiu,18.00,18.32
24a40f8811b9ab41db9712af6c686feb,研究,yan jiu,9.34,10.06
04169dbcb72ed062e0a93d03bdaa9e4c,研究,yan jiu,7.06,7.46
c46d5216f1e5c32fb086190a424ea1ef,研究,yan jiu,5.52,6.00
f1e8457c13bee2f92cfa5b78463d3b73,研究,yan jiu,4.22,4.62
f63f6835dc1d953c6906f49df457ac1b,研究,yan jiu,2.14,2.56
1b371fa384837ee3912a9bb4ef93428a,行为,xing wei,8.01,8.57
66be7571ff9603bf23eb9a3827ca59e2,行为,xing wei,2.29,2.63
4844fc2819c9d785d99670cde62a02f9,行为,xing wei,7.40,7.80
5e8e6de930e0cb253f7e13edcccb702e,深,shen,5.52,5.68
